"","PC1","PC2"
"TCGA.KK.A8IJ.01A.11R.A352.07",512.322435249886,-65.2808782654129
"TCGA.HC.7213.01A.11R.2118.07",508.920672412707,-19.9644376380686
"TCGA.XK.AAIW.01A.11R.A41O.07",-53.5725928158763,15.5256205756149
"TCGA.EJ.5514.01A.01R.1580.07",643.501106918228,-46.9411719881797
"TCGA.KK.A7AW.01A.11R.A32O.07",-3294.17028830795,38.2636283451382
"TCGA.ZG.A9L4.01A.11R.A41O.07",294.016796819479,-56.2522194307927
"TCGA.EJ.5531.01A.01R.1580.07",605.511246215349,-77.5789158014966
"TCGA.VN.A88P.01A.11R.A352.07",-66.2979632128695,-52.8732934341897
"TCGA.ZG.A9LS.01A.12R.A41O.07",-5.25817947828818,-29.8070917393052
"TCGA.J4.A67T.01A.11R.A311.07",258.88405173945,-82.3411467937691
"TCGA.KK.A6E0.01A.11R.A311.07",473.104850352812,-80.8065666722467
"TCGA.EJ.A46F.01A.31R.A250.07",-1574.78547112988,19.937654868321
"TCGA.CH.5790.01A.11R.1580.07",573.059181885117,-54.83745123014
"TCGA.EJ.A6RA.01A.11R.A33R.07",-234.472616498051,-50.7502461683826
"TCGA.EJ.7331.01A.11R.2118.07",774.301211664508,-79.9201092414427
"TCGA.YL.A8SQ.01B.11R.A37L.07",-45.1826909139578,-20.9636007389998
"TCGA.XK.AAJT.01A.11R.A41O.07",-514.057707499052,-27.4676832882669
"TCGA.G9.6354.01A.11R.A311.07",-471.069937618087,-46.9234390369488
"TCGA.EJ.5515.01A.01R.1580.07",658.309604810903,-95.7342181595696
"TCGA.EJ.5521.01A.01R.1580.07",100.860340580358,-105.162035601605
"TCGA.VN.A88L.01A.11R.A352.07",71.4697990097754,-74.0549350207091
"TCGA.J4.AATZ.01A.11R.A41O.07",653.904920030306,-50.5635704773662
"TCGA.2A.A8W1.01A.11R.A37L.07",67.9777381918637,437.899982446129
"TCGA.HC.8266.01A.11R.2263.07",3.21968322307186,-29.5957910788518
"TCGA.YL.A9WX.01A.21R.A41O.07",565.841706732709,-48.3589914564246
"TCGA.YL.A8S9.01A.11R.A37L.07",-1545.98238754595,17.1512398449408
"TCGA.KK.A59X.01A.11R.A29R.07",109.548695284275,-69.5728507637052
"TCGA.EJ.7791.01A.11R.2118.07",676.511989426691,-91.0228480009146
"TCGA.VN.A88O.01A.11R.A352.07",135.67140685921,-66.993146548196
"TCGA.EJ.5512.01A.01R.1580.07",51.5728780765197,-56.6495589252741
"TCGA.KK.A8I5.01A.11R.A36G.07",495.928054466217,-64.6507697489614
"TCGA.2A.A8VT.01A.11R.A37L.07",823.678018812881,-30.0284879759216
"TCGA.V1.A8X3.01A.11R.A37L.07",527.460027849397,-51.5427367323927
"TCGA.HC.7211.01A.11R.2118.07",845.597133900194,-75.6477071620264
"TCGA.2A.AAYF.01A.11R.A41O.07",197.002652438086,-65.0933906302045
"TCGA.EJ.5510.01A.01R.1580.07",551.735236227764,61.0433353931432
"TCGA.KK.A6E8.01A.11R.A31N.07",-3190.42683644687,45.9220704044183
"TCGA.HC.7820.01A.11R.2118.07",435.777607660572,-63.3488643381834
"TCGA.QU.A6IP.01A.11R.A31N.07",-87.8876703843153,-41.5678747142978
"TCGA.J4.AATV.01A.11R.A41O.07",266.44482993336,-64.2463346628318
"TCGA.G9.6377.01A.11R.1965.07",-193.388221730629,-55.543914531947
"TCGA.J4.A67O.01A.11R.A30B.07",-2515.23330027715,-68.642112409071
"TCGA.M7.A71Z.01A.12R.A32O.07",-562.382180952661,-5.91561507380578
"TCGA.EJ.8469.01A.11R.2403.07",161.745766851255,-3.10982505390781
"TCGA.KK.A8IF.01A.11R.A36G.07",-2787.34788723854,47.4705214594379
"TCGA.ZG.A9ND.01A.11R.A41O.07",-79.0174342949385,-43.7493591655855
"TCGA.YL.A8SC.01A.11R.A37L.07",705.385142577304,1465.89102643547
"TCGA.V1.A8MK.01A.11R.A36G.07",304.13669790425,-82.5152990834897
"TCGA.HC.7079.01A.11R.1965.07",507.00876077657,-35.2078127939919
"TCGA.CH.5744.01A.11R.1580.07",844.353376574947,-64.3173209722994
"TCGA.HI.7168.01A.11R.2118.07",-184.744302040821,-41.8114316234899
"TCGA.HC.7740.01A.11R.2118.07",445.254706167582,-71.749211596133
"TCGA.EJ.A46E.01A.31R.A250.07",275.860265292807,-47.918482559593
"TCGA.CH.5751.01A.11R.1580.07",340.396556769858,-8.86816702511356
"TCGA.J9.A8CN.01A.11R.A352.07",-1350.38877706488,-27.1416711289846
"TCGA.CH.5769.01A.11R.1580.07",389.653473111832,-45.1902252086803
"TCGA.YL.A8SB.01A.31R.A37L.07",174.360502637837,-50.3128419063572
"TCGA.HC.A6AS.01A.11R.A30B.07",-477.71749423358,138.874405056237
"TCGA.EJ.7786.01A.11R.2118.07",538.079906370123,-83.9814363239837
"TCGA.EJ.7793.01A.31R.2263.07",282.176301911414,-81.6850835071855
"TCGA.HC.8260.01A.11R.2263.07",401.986897354577,-57.5613190168703
"TCGA.EJ.7781.01A.11R.2118.07",730.929145474606,-59.0170813054448
"TCGA.KK.A7AU.01A.11R.A32O.07",51.7303786524998,-13.4358088969621
"TCGA.EJ.5499.01A.01R.1580.07",319.419014932631,-33.6738395215826
"TCGA.J4.AAU2.01A.11R.A41O.07",4.00367693612555,-79.0766236620617
"TCGA.G9.6364.01A.21R.1789.07",550.833861192937,-60.3379505964851
"TCGA.XK.AAK1.01A.11R.A41O.07",-215.743441733407,-60.4376287098836
"TCGA.CH.5741.01A.11R.1580.07",478.986844360592,-44.3587405359281
"TCGA.SU.A7E7.01A.22R.A33R.07",564.828576744356,783.931739016525
"TCGA.CH.5737.01A.11R.1580.07",540.433955446875,-100.858841176374
"TCGA.EJ.7788.01A.11R.2118.07",697.61649909306,1342.12401136513
"TCGA.ZG.A9M4.01A.11R.A41O.07",523.460872614789,155.859230266546
"TCGA.V1.A8WS.01A.11R.A37L.07",277.210953984848,-5.75219827333688
"TCGA.J4.A83K.01A.11R.A352.07",196.413901584891,-47.7560490274165
"TCGA.EJ.7785.01A.11R.2118.07",913.512986878208,-48.9524703314371
"TCGA.J9.A8CM.01A.11R.A352.07",-81.1951468887409,-24.5318130584705
"TCGA.4L.AA1F.01A.11R.A41O.07",514.706046652072,-0.515527050655999
"TCGA.CH.5752.01A.11R.1580.07",737.91876410779,-15.6029901373629
"TCGA.ZG.A8QW.01A.11R.A37L.07",203.568457707101,-65.9042108753991
"TCGA.ZG.A9L6.01A.11R.A41O.07",-18.8908129939373,-63.7065930516522
"TCGA.EJ.5511.01A.01R.1580.07",683.574523587841,-46.3889936309024
"TCGA.VP.A87J.01A.11R.A352.07",774.044750812317,652.154208413647
"TCGA.XJ.A83G.01A.11R.A352.07",-445.028219848175,-74.9353902010852
"TCGA.J4.A67K.01A.21R.A30B.07",-2075.70423359165,19.6547786796685
"TCGA.ZG.A9N3.01A.11R.A41O.07",-438.580227359135,-14.8548162201997
"TCGA.J9.A52C.01A.11R.A26U.07",187.616205338229,-66.9015635555577
"TCGA.TP.A8TT.01A.12R.A41O.07",536.101295771396,-66.8624302052013
"TCGA.KK.A59V.01A.11R.A29R.07",-1097.13985802518,22.0006796765556
"TCGA.EJ.5505.01A.01R.1580.07",587.794565462631,-69.3390877232722
"TCGA.EJ.7330.01A.11R.2118.07",764.645156854226,-72.4896254448978
"TCGA.HC.7209.01A.11R.2118.07",703.739661626469,-61.0694057338465
"TCGA.KK.A6E2.01A.11R.A311.07",287.261170809437,-16.0416907848195
"TCGA.ZG.A8QZ.01A.11R.A37L.07",192.252106953405,-26.9898345883945
"TCGA.EJ.5501.01A.01R.1580.07",706.49723607682,949.423946104185
"TCGA.ZG.A9L0.01A.11R.A41O.07",56.3834843782693,-37.4052341734225
"TCGA.KK.A6E7.01A.11R.A31N.07",-464.53157988713,-70.4148308744112
"TCGA.EJ.7794.01A.11R.2118.07",627.115438450432,-82.1204643401904
"TCGA.V1.A9Z8.01A.11R.A41O.07",-367.547847537822,-45.6302410224384
"TCGA.2A.A8VV.01A.11R.A37L.07",-20.5169988448292,-41.0666189382851
"TCGA.J9.A52B.01A.11R.A26U.07",142.390495458781,-26.0136216157626
"TCGA.KC.A7FE.01A.12R.A33R.07",101.518004272151,-59.9776953412918
"TCGA.G9.6373.01A.11R.1789.07",-1329.18774015258,-11.1364232532593
"TCGA.J4.A83M.01A.11R.A352.07",381.085446387627,822.077750013917
"TCGA.FC.A4JI.01A.11R.A250.07",397.359650648956,-55.7004159740233
"TCGA.HC.7210.01A.11R.2118.07",909.649579705141,-100.196765546044
"TCGA.V1.A9Z7.01A.11R.A41O.07",-246.027851825096,-24.1422078142772
"TCGA.G9.6362.01A.11R.1789.07",-1448.27253794451,-3.30354021908763
"TCGA.ZG.A9LB.01A.11R.A41O.07",-7097.14360138699,164.155966255971
"TCGA.EJ.5506.01A.01R.1580.07",621.348485884828,-51.9040352963622
"TCGA.HC.8216.01A.11R.A29R.07",305.346041716621,-53.5978617109848
"TCGA.KK.A7AZ.01A.12R.A32O.07",-926.097522154029,20.9918092067681
"TCGA.G9.7523.01A.11R.2263.07",-84.010511911282,-81.6786316422287
"TCGA.CH.5766.01A.11R.1580.07",792.327365087594,-58.2919275570498
"TCGA.XK.AAJU.01A.11R.A41O.07",183.611554686609,-58.2740470420633
"TCGA.YL.A8HK.01A.11R.A36G.07",636.916209726258,-48.3460590342643
"TCGA.EJ.5517.01A.01R.1580.07",349.291580988601,-82.9597324036909
"TCGA.V1.A9ZK.01A.11R.A41O.07",348.815411363561,-72.1656290676508
"TCGA.KK.A7AY.01A.11R.A33R.07",-1051.59188048561,-46.9719009907641
"TCGA.KK.A8IK.01A.11R.A36G.07",-47.1755323558535,-65.1102927750329
"TCGA.J4.A67L.01A.11R.A30B.07",-368.516539758684,-64.8566734120468
"TCGA.KK.A8ID.01A.11R.A36G.07",159.610915844262,-53.6163381250114
"TCGA.EJ.5498.01A.01R.1580.07",675.635228732255,-67.9527939024981
"TCGA.EJ.5509.01A.01R.1580.07",206.179886397421,-56.3423571018756
"TCGA.VP.A879.01A.11R.A352.07",313.56113173528,-52.1297789947038
"TCGA.TP.A8TV.01A.11R.A41O.07",-101.721899972149,-65.9888175122789
"TCGA.EJ.7789.01A.11R.2118.07",-521.925960620643,-17.1025890252784
"TCGA.EJ.7328.01A.31R.2118.07",-108.749084242187,-18.5087980158371
"TCGA.XK.AAIR.01A.11R.A41O.07",291.400438126286,-59.0249974280972
"TCGA.HC.7750.01A.11R.2118.07",115.524908271634,-75.7700100290857
"TCGA.2A.AAYO.01A.11R.A41O.07",-130.816924062424,-46.7356749029309
"TCGA.KC.A4BL.01A.31R.A250.07",424.724984317543,-48.6752418498098
"TCGA.CH.5738.01A.11R.1580.07",651.12728168261,-55.8544041762189
"TCGA.G9.6332.01A.11R.1789.07",88.2689466156168,-48.2441914962859
"TCGA.2A.A8W3.01A.11R.A37L.07",619.557341358118,1332.73883140973
"TCGA.KK.A6DY.01A.12R.A311.07",401.867851940806,-43.745789960053
"TCGA.EJ.A7NK.01A.12R.A352.07",289.695133423904,-68.0200056637379
"TCGA.J4.A6G3.01A.11R.A311.07",601.327425623526,-58.6631012941304
"TCGA.Y6.A9XI.01A.11R.A41O.07",168.752336447431,-34.0375600728385
"TCGA.EJ.5526.01A.01R.1580.07",664.521705808299,-49.0804875368028
"TCGA.V1.A8MU.01A.11R.A37L.07",167.79812365356,-44.4745101541333
"TCGA.EJ.8474.01A.11R.2403.07",119.728966508578,246.234643238431
"TCGA.ZG.A9LU.01A.11R.A41O.07",-727.017052940562,-25.4913126773865
"TCGA.EJ.5508.01A.02R.1580.07",634.900626677011,-50.2808849675951
"TCGA.YL.A9WH.01A.11R.A37L.07",294.017756145285,346.073728330837
"TCGA.G9.6384.01A.11R.1789.07",660.329237290436,-45.3753718678784
"TCGA.2A.A8VO.01A.11R.A37L.07",-414.629691013515,-37.770631804789
"TCGA.G9.6356.01A.11R.1789.07",259.57900185206,-41.5310111463766
"TCGA.J4.A67Q.01A.21R.A30B.07",-1646.48859924859,-31.4344782040746
"TCGA.J9.A8CL.01A.11R.A352.07",355.281419762019,-40.7443460048718
"TCGA.KK.A8IG.01A.11R.A36G.07",-145.822996123926,-55.6327795452688
"TCGA.KK.A59Z.01A.12R.A26U.07",-1236.37723332224,-5.01341635763223
"TCGA.G9.6371.01A.11R.1789.07",260.422407210123,-67.130637714214
"TCGA.EJ.7783.01A.11R.2118.07",737.971455475329,-42.434678168338
"TCGA.FC.A5OB.01A.11R.A29R.07",462.105323387598,-70.3680573856395
